episode,success_delta_on_minus_off,zone_time_delta_on_minus_off,zone_ratio_delta_on_minus_off,target_err_mean_delta_on_minus_off,attach_err_mean_delta_on_minus_off,hf_target_err_diff_rms_delta_on_minus_off,hf_attach_err_diff_rms_delta_on_minus_off,hf_qdot_diff_rms_delta_on_minus_off,win_zone_time_on,win_attach_err_on,win_hf_attach_on,win_hf_qdot_on
47,0.0,-4.634,-0.44192256341789055,-0.010610162671469081,0.007151895645434107,4.592952890255489e-05,-3.185113255166675e-05,0.05590790667729628,1.0,0.0,1.0,0.0
48,0.0,-2.188,-0.3127501429388222,-0.05200333290477707,-0.051356502895947384,-0.00026040799637887095,-0.001046079218386301,-0.08586677833887368,1.0,1.0,1.0,1.0
49,-1.0,-1.608,-0.24393203883495146,0.6024636016379341,nan,-0.00010517651740457276,nan,0.044273399237371724,1.0,nan,nan,0.0
50,0.0,-5.16,-0.5549580554958056,-0.05893183702509147,-0.05675512914181892,-0.0006380153985065936,-0.0009598952526352082,-0.08782943159146339,1.0,1.0,1.0,1.0
51,0.0,-2.384,-0.32112068965517243,-0.06899492875007399,-0.06196205544878616,-0.0003841958595925842,-0.0007755212213082625,-0.07138550786522557,1.0,1.0,1.0,1.0
52,0.0,-2.714,-0.27503040129712203,-0.0633495677765671,-0.0572211164190786,-0.0005029842669817027,-0.0008771163533339444,-0.12237459127476524,1.0,1.0,1.0,1.0
53,0.0,-2.048,-0.29724238026124816,-0.06160250763649666,-0.05499882801531929,-0.00017725676258417288,-0.0010466509752408853,-0.09390220742411903,1.0,1.0,1.0,1.0
54,0.0,-0.124,-0.007769423558897243,-0.02365701216374165,-0.003172146531705923,-0.0001866089455055341,-0.00046781736756689195,-0.026596570229821537,1.0,1.0,1.0,1.0
55,0.0,-3.762,-0.3922018348623853,-0.06879134978841543,-0.0604304603505985,-0.000540315541131604,-0.0008761174029611907,-0.11781027664447546,1.0,1.0,1.0,1.0
56,0.0,-0.724,-0.1021732994637313,-0.034589243372914635,-0.03326031678749596,-0.0005919635955413528,-0.0009449454452155896,0.13936038429159675,1.0,1.0,1.0,0.0
57,0.0,-5.614,-0.33802986512524086,-0.060510577299631566,-0.056831694241696665,-0.0006754796082584186,-0.0011778951377734454,-0.06986286772158973,1.0,1.0,1.0,1.0
58,-1.0,-0.076,-0.012032932235592146,0.20058616540431845,nan,-0.00027895951848142637,nan,0.39056465392199513,1.0,nan,nan,0.0
59,1.0,-4.9319999999999995,-0.6861435726210351,-0.043511803204072386,nan,-0.0003704326057476622,nan,0.14945009120564812,1.0,nan,nan,0.0
60,0.0,-1.9820000000000002,-0.31153725243634073,-0.0102659318453302,-0.04979867990122339,-0.0004671646438907922,-0.0008127267183684697,0.12640949784240307,1.0,1.0,1.0,0.0
61,0.0,-0.714,-0.12655086848635236,0.05644262887947343,-0.038304820102439074,-0.0004781201083024144,-0.000828720929941945,0.14135020454135877,1.0,1.0,1.0,0.0
