episode,random_mpc_on,success,zone_steps,zone_time_s,zone_ratio,zone_entries,target_err_mean,target_err_p95,hold_err_mean,attach_err_mean,hf_target_err_diff_rms,hf_attach_err_diff_rms,hf_qdot_diff_rms,x_start,x_end,speed,y_noise_mean,y_noise_std,noise_seed,kf_seed
6,1,1,0,0.0,0.0,0,0.12287846461444502,0.6032739667213166,0.41647167514077005,0.02083469214285686,0.0008465817916852116,0.000355542661063794,0.26232304451859234,-0.9915817710078559,0.46385198688000395,0.17165925462299172,0.014088772437366257,0.005,2024417915,1141144975
6,0,1,2037,4.074,0.3264423076923077,25,0.19609196905635484,0.8406190998350325,0.5011300488320746,0.08277785501847686,0.001415242958871521,0.001408413105317597,0.3544461871255557,-0.9915817710078559,0.46385198688000395,0.17165925462299172,0.014088772437366257,0.005,2024417915,1141144975
7,1,1,308,0.616,0.062146892655367235,2,0.07679413094898753,0.5872144886102846,0.5155439234091042,0.01638935260701845,0.0007537592622237157,0.00031819868757246576,0.23647396586719857,-0.5752816015397156,0.4270983190437564,0.16957718862056498,0.0066405900149583575,0.005,1952292173,1608060721
7,0,1,368,0.736,0.07425343018563357,3,0.08500140566754924,0.6291657585221313,0.5310367525162394,0.012089366411376638,0.0007274018494756183,0.0003578771999454893,0.14658644541187715,-0.5752816015397156,0.4270983190437564,0.16957718862056498,0.0066405900149583575,0.005,1952292173,1608060721
8,1,0,0,0.0,0.0,0,0.4823318652152879,0.7622587676278582,0.39657405443618016,nan,0.0008299204870771035,nan,0.6205885799890294,-0.5494103117593084,0.5915582201521778,0.48275361004816886,0.017924465781145035,0.005,885016550,895172049
8,0,1,168,0.336,0.05279698302954117,4,0.15079189362555886,0.7332443737326233,0.3938811402152265,0.06416608077205584,0.001640710675217267,0.0014708550121225088,0.33632680137808707,-0.5494103117593084,0.5915582201521778,0.48275361004816886,0.017924465781145035,0.005,885016550,895172049
9,1,1,208,0.41600000000000004,0.04213938411669368,5,0.13241552952551786,0.8306954887360921,0.5171155019471374,0.027862062146475526,0.0011506894177958102,0.0007404152169025596,0.24665766962051733,-1.0651335684848557,0.7218513418084886,0.3043665277034423,0.007732194825369766,0.005,1072142926,444839761
9,0,1,2105,4.21,0.4264586709886548,21,0.1947679086265061,0.9796431212417569,0.6382919438295906,0.07273728075739802,0.0015492639679108155,0.0014278406043048062,0.36369314805589564,-1.0651335684848557,0.7218513418084886,0.3043665277034423,0.007732194825369766,0.005,1072142926,444839761
10,1,1,66,0.132,0.016168544830965213,1,0.12502976761243606,0.8827755945288541,0.5251236623318705,0.019444473693014264,0.0011614790582815493,0.0006595211222419296,0.26681389290736246,-0.9328413615444964,0.34971787868825077,0.30803464851147033,0.01972502705484506,0.005,2097883089,10644000
10,0,1,1920,3.84,0.47035766780989713,27,0.19473505618553869,0.9626639089706265,0.6748904627817872,0.08138301652865437,0.0016078146174109311,0.0014307702573094516,0.355983035786958,-0.9328413615444964,0.34971787868825077,0.30803464851147033,0.01972502705484506,0.005,2097883089,10644000
11,1,1,0,0.0,0.0,0,0.1485682422500002,0.7501462305310871,0.4162331141845022,0.021428115436080898,0.000858539946782921,0.0003712260622818733,0.4310468258418888,-0.5051505038873673,0.4369863410617344,0.34858559727894745,0.016819673409829535,0.005,2054219,1284739449
11,0,1,1162,2.324,0.3466587112171838,16,0.1529995938303777,0.7112730411811748,0.3462387407298669,0.06290186472381093,0.0013173510704174408,0.0010985570082891467,0.3657390903317197,-0.5051505038873673,0.4369863410617344,0.34858559727894745,0.016819673409829535,0.005,2054219,1284739449
