episode,success_delta_on_minus_off,zone_time_delta_on_minus_off,zone_ratio_delta_on_minus_off,target_err_mean_delta_on_minus_off,attach_err_mean_delta_on_minus_off,hf_target_err_diff_rms_delta_on_minus_off,hf_attach_err_diff_rms_delta_on_minus_off,hf_qdot_diff_rms_delta_on_minus_off,win_zone_time_on,win_attach_err_on,win_hf_attach_on,win_hf_qdot_on
121,0,-5.976,-0.47345903977182696,-0.02568038783097605,-0.03223264623597384,3.159053699910237e-05,5.6730335789404915e-05,-0.02876280255985597,1,1,0,1
122,0,0.0,0.0,-0.0016583806598165773,9.710267771062542e-05,1.6639933124567565e-06,1.0205835503918114e-05,-0.004251453163471697,0,0,0,1
123,0,0.006000000000000005,0.0006717420510523962,-0.0006350290048727919,0.00012343267933979246,7.832994635368468e-06,1.1139363607243235e-05,-0.003963843495887742,0,0,0,1
124,0,-0.128,-0.012593467138921684,-0.011424113600706276,0.00027072394074116254,3.0867998920067067e-05,7.686303301105563e-05,-0.05394660673654386,1,0,0,1
125,0,-0.07200000000000001,-0.004856988667026444,-0.004525082941696901,-0.0003394752268033527,-3.380797122334118e-05,-2.170600623629254e-05,-0.007364704184734283,1,1,1,1
126,0,0.07599999999999996,0.004615571480626746,0.005042574283817769,-9.110131117098796e-05,-3.808123201357776e-05,-6.62326545334402e-05,-0.0016152683739059093,0,1,1,1
127,0,-5.854,-0.5454714871412598,-0.031407870312083835,-0.03245748292735717,5.954470650944949e-05,0.00014721602593315014,-0.0429629339626357,1,1,0,1
128,0,0.0040000000000000036,0.0004760771244941668,-1.7951162737506188e-05,0.00010830047959108774,4.293350529745686e-06,1.0817734159550307e-05,-0.002105417960619277,0,0,0,1
129,0,0.040000000000000036,0.003569516330537148,0.0007768055067112478,0.0006119193026239422,4.061384615884145e-06,2.472414167166068e-05,-0.0006302538089862364,0,0,0,1
130,1,-6.046,-0.5612699591533605,-0.05688247747384287,-0.04075541302828603,1.4800177400334908e-05,0.00018254831744625498,-0.065380062493194,1,1,0,1
131,0,-0.008000000000000007,-0.000733675715333823,2.5488873546697377e-05,0.0008927526299830138,-1.724267373577745e-05,8.177255917491029e-06,0.0010180573521156033,1,0,0,0
132,0,0.0,0.0,0.0010944193816436187,0.0009577744442561924,7.026786763251157e-06,9.489098995125414e-06,-0.0007774262006597366,0,0,0,1
133,0,-0.001999999999999988,-0.00021413276231263371,-0.0006632380398258059,0.00012666070956817918,2.170807778165444e-06,3.7251872360199783e-06,-0.003123656161132332,1,0,0,1
134,0,-0.016,-0.0019930244145490786,-0.0007796319134849017,-6.631288337914654e-05,1.1155012094280436e-05,2.7369354380994346e-05,0.0019461530227619928,1,1,0,0
135,0,0.018000000000000002,0.0018371096142069808,-0.0006786879452576056,0.00019460500733040065,-7.55574336555381e-08,7.894436979173484e-06,-0.0023804590534545755,0,0,0,1
136,0,0.030000000000000013,0.0034490687514371118,0.004113050791841488,-2.4920024374940758e-05,-8.942567544415608e-06,-3.496751018777739e-05,-0.030635476028171932,0,1,1,1
137,0,-0.0020000000000000018,-0.00016385384237260422,0.0011999843491329876,0.0016289946345423995,-2.2387146336986814e-06,2.4809137449116202e-05,0.009182058674779087,1,0,0,0
138,0,-0.040000000000000036,-0.0038468936333910797,0.015905000267527336,0.0032456257996630877,-1.526024242478447e-05,-9.385877830769303e-05,0.02505690857821069,1,0,1,0
139,0,0.016000000000000014,0.0014513788098693761,0.00025717755993287517,0.0004685708231485647,1.3590872810312696e-05,3.9314115353537415e-07,-0.0005443237674163381,0,0,0,1
140,0,0.0,0.0,-0.0011682322980824389,0.00028039509840965815,1.2817554593820123e-07,5.776496747926247e-06,-0.004497064032607634,0,0,0,1
141,0,0.0,0.0,-0.0003731193017296186,6.164331155666947e-05,3.2605715702861563e-06,7.906699102005522e-07,-0.0011201315417845026,0,0,0,1
142,0,0.04800000000000004,0.0046629104332620575,0.0017625796587053821,0.0005224427325622519,4.532215097167308e-06,2.5972999797665205e-06,0.0009640565515454946,0,0,0,0
143,0,-0.006000000000000005,-0.0006137479541734863,-0.0009229469841786353,0.00015115726372107174,3.102037937560047e-06,7.036938835162042e-06,-0.005282245285468334,1,0,0,1
144,-1,-0.09200000000000053,-0.008911274699728855,0.0287911672803548,0.007080150055229335,7.810594485626091e-05,-1.9407663028338327e-05,0.03864664286279579,1,0,1,0
145,0,0.0,0.0,-0.0024082363092336745,0.0005734238657289191,-9.836486367711776e-06,9.913726343056188e-07,-0.0011621653079441907,0,0,0,1
146,0,0.0,0.0,-0.0014912172788646844,0.00021247687645863794,5.646001592133102e-06,1.6269237807262776e-05,-0.003986012600659089,0,0,0,1
147,0,-0.038,-0.004036541321436159,0.004359664869591134,9.712357527218857e-05,-1.8384996862924326e-05,-1.9308275209612043e-05,-0.00826062928786922,1,0,1,1
148,0,0.0,0.0,-0.0012105059179234046,0.00012008325836761202,1.0181234047199105e-06,7.102026452494479e-06,-0.0027414241654216687,0,0,0,1
149,0,-6.042,-0.4551755311134549,-0.017300654217827602,-0.02219835177948219,-2.297931215216871e-06,2.569691749197998e-05,-0.03341382895229311,1,1,0,1
150,0,-0.021999999999999992,-0.0018133860863831187,-0.0077960316149095765,0.00038924470355997803,1.1487746935893474e-05,3.102046114394918e-05,-0.06063446393400879,1,0,0,1
