episode,random_mpc_on,x_start,x_end,speed,y_noise_mean,y_noise_std,noise_seed,kf_seed,base_duration_s,max_time_s,steps_total,sim_time_s,success,zone_steps,zone_time_s,zone_ratio,zone_entries,target_err_mean,target_err_min,target_err_p95,hold_steps,hold_err_mean,hold_err_p95,attach_steps,attach_err_mean,attach_err_p95,hf_target_err_diff_rms,hf_attach_err_diff_rms,hf_qdot_diff_rms
20,0,-0.6563910220404613,0.5264845769251653,0.23162373964352825,0.014872179002127395,0.005,511007828,1463729499,5.106884125030044,11.106884125030044,5554,11.108000000000379,1,95,0.19,0.017104789341015485,6,0.11560753054034369,0.0013918890923739929,0.6722368245151337,945,0.4513714446028843,1.0766705932060545,4609,0.03263860712376625,0.057148445015910466,0.0011523662376902281,0.001063723093546886,0.2968290638270321
21,1,-0.6980200961394174,0.390501710122516,0.16440820789849808,0.011345338080487828,0.005,294093398,1751679020,6.620848315152015,12.620848315152015,6311,12.622000000000885,1,324,0.648,0.05133893202345112,2,0.09331223020673456,0.007929950085983378,0.39317537151281134,1880,0.20374212543456333,1.0263859111176572,4431,0.019059915952590684,0.03927531803454537,0.0008049789657297274,0.00034279269373838496,0.19981534580740393
21,0,-0.6980200961394174,0.390501710122516,0.16440820789849808,0.011345338080487828,0.005,294093398,1751679020,6.620848315152015,12.620848315152015,6311,12.622000000000885,1,1087,2.174,0.1722389478688005,16,0.1190014515478176,0.0009240344533359807,0.6692986699261574,935,0.5134251572692241,1.1222518566188622,5376,0.03936356353652752,0.07141574504925996,0.0011963675004355444,0.0011303788850439785,0.28243441082908594
22,1,-0.6788508528710326,0.6816247763288588,0.45444680659380865,0.018226973994529858,0.005,646471554,1321243658,2.9936960926120113,8.993696092612012,4497,8.993999999999673,1,906,1.812,0.20146764509673115,2,0.14554880830730949,0.012276867034431755,0.6376672398721831,1845,0.3157324467800259,0.9774468838961894,2652,0.026070035649831128,0.05390953108100963,0.001168303601328892,0.00019540542860122602,0.2126487688185814
22,0,-0.6788508528710326,0.6816247763288588,0.45444680659380865,0.018226973994529858,0.005,646471554,1321243658,2.9936960926120113,8.993696092612012,4497,8.993999999999673,1,0,0.0,0.0,0,0.10825452907520026,0.0016548958968430649,0.707905295751729,940,0.3975134623472708,1.0833823140263477,3557,0.01262417855095096,0.02023140892574946,0.0009737974001251264,0.0004941111329382257,0.18526672174538336
23,1,-0.844074508035627,0.5961251221614594,0.13046733307922082,0.011507440171406758,0.005,1940398011,1640307605,11.038775731872938,17.03877573187294,8520,17.040000000001434,1,79,0.158,0.009272300469483567,3,0.10105729112653965,0.013527231996455705,0.3461624476218001,2665,0.19883860998270747,1.0324197734077074,5855,0.021759861024016124,0.026675211425114646,0.0006968132671476059,0.0002820865501872308,0.1718564282883835
23,0,-0.844074508035627,0.5961251221614594,0.13046733307922082,0.011507440171406758,0.005,1940398011,1640307605,11.038775731872938,17.03877573187294,8520,17.040000000001434,1,115,0.23,0.013497652582159625,2,0.11840812843263876,0.0013608089964257095,0.7727242675210627,1425,0.4687246702369495,1.2072161827658112,7095,0.03488138569175753,0.06042783725772299,0.0011304534253328156,0.0011016234110336049,0.2818637840659523
24,1,-0.7983744968683226,0.4824259723297403,0.18417395405597092,0.011582878284891487,0.005,1367489184,556597679,6.954297505112067,12.954297505112066,6478,12.956000000000996,1,0,0.0,0.0,0,0.11019554954072289,0.014237295321086084,0.43045659399652064,2460,0.18913055595313183,1.0195949303995615,4018,0.021744511285897043,0.0733541515979397,0.000784578438854803,0.0003032567734052296,0.194076172011685
24,0,-0.7983744968683226,0.4824259723297403,0.18417395405597092,0.011582878284891487,0.005,1367489184,556597679,6.954297505112067,12.954297505112066,6478,12.956000000000996,1,75,0.15,0.01157764742204384,1,0.12362207666574399,0.0009238384301914536,0.7293519745478876,940,0.5763335243853723,1.2029114240424041,5538,0.03646334832288788,0.06332949014757869,0.001172814589361735,0.0011029417288399882,0.2900924609274201
25,1,-0.8075391195401088,0.23369934665921116,0.2123695794861709,0.018453571891347744,0.005,917291909,1752809987,4.902954880442862,10.902954880442863,5452,10.90400000000031,1,79,0.158,0.014490095377842993,5,0.12683597667708932,0.0030705102538175163,0.5807061157427627,2135,0.20167143877883917,1.074743777277641,3317,0.03670571328882399,0.09183103551363139,0.0009218493784108472,0.0002221648678791233,0.2312959183741694
25,0,-0.8075391195401088,0.23369934665921116,0.2123695794861709,0.018453571891347744,0.005,917291909,1752809987,4.902954880442862,10.902954880442863,5452,10.90400000000031,1,33,0.066,0.006052824651504035,1,0.14680913969728218,0.00011747725571335286,0.8005820113119392,940,0.5629944671432227,1.2077995834981643,4512,0.04726958824295496,0.13831781023185025,0.001301745033046525,0.0011921462899900368,0.28666837829942693
26,1,-1.051854704985166,0.4844551561630332,0.18730616123967933,0.015322460511502288,0.005,1302376713,1782151745,8.202132011996753,14.202132011996753,7102,14.204000000001413,1,72,0.14400000000000002,0.010137989298789073,6,0.13991361836327684,0.0141427540652654,0.5103557409974808,2905,0.24083720373784848,1.15127029501898,4197,0.021661457708789612,0.06033434510066072,0.0008095950224836655,0.00033698835931685256,0.18392897104219152
26,0,-1.051854704985166,0.4844551561630332,0.18730616123967933,0.015322460511502288,0.005,1302376713,1782151745,8.202132011996753,14.202132011996753,7102,14.204000000001413,1,16,0.032,0.002252886510842016,4,0.15978013223814316,0.0006728920195126208,0.9241464267181768,1570,0.5367027584644046,1.367627888718453,5532,0.0351414036567885,0.06218094851702108,0.001147620842635579,0.0011009989923766164,0.2841112050082069
