episode,success_delta_on_minus_off,zone_time_delta_on_minus_off,zone_ratio_delta_on_minus_off,target_err_mean_delta_on_minus_off,attach_err_mean_delta_on_minus_off,hf_target_err_diff_rms_delta_on_minus_off,hf_attach_err_diff_rms_delta_on_minus_off,hf_qdot_diff_rms_delta_on_minus_off,qdot_norm_mean_delta_on_minus_off,cond_log10_mean_delta_on_minus_off,manip_w_mean_delta_on_minus_off,manip_risk_mean_delta_on_minus_off,win_zone_time_on,win_attach_err_on,win_hf_qdot_on,win_cond_on,win_manip_w_on,win_manip_risk_on
42,0,-0.03,-0.0038981288981288983,0.001952407128034489,-0.001343974553974895,-2.856597991717424e-06,-2.799634101908376e-05,-0.0016027780373117362,-0.023231140801434735,0.004465365691138423,0.10422195839353582,0.05065474880222379,1,1,1,0,1,0
43,0,-0.24,-0.02720471548401723,0.010774103943666014,0.002870951325525152,-6.813535436999167e-05,-0.00025660081765355164,0.0282777157202507,0.296006570814636,0.03606928069650728,0.12055156660120513,0.04506670505589993,1,0,0,0,1,0
44,0,-0.07599999999999962,-0.007260221627818031,-0.0029042670427284756,-0.00037332419775930326,1.1173016173860817e-05,2.102033101457389e-05,-0.0028263705638725545,-0.029204697792652112,-0.0867402360306988,0.14530915446837164,0.03041179237323296,1,1,1,1,1,0
45,0,0.0020000000000000018,0.0002230649118893594,0.0008612131364765518,-2.933931546260371e-06,-1.8594654391993317e-06,-8.83782827985609e-06,0.002861685421614746,-0.0005954034188042634,-0.0006104651773477521,0.11544359871742453,0.034211843476294586,0,1,0,1,1,0
46,0,-0.05399999999999999,-0.006339516318384598,0.0029786192236673503,-0.00033604203741380637,-1.5702749772445335e-05,-1.2760683997093563e-05,0.05086649542646296,-0.01907135382376035,-0.06362779661490459,0.10377757774261923,0.04084802656860433,1,1,0,1,1,0
47,0,6.526,0.5226653852314592,0.021309479259386407,0.031005025148839207,1.4410651962774423e-07,-5.639568194992968e-05,0.015224915567159603,1.9257677335536387,-0.18994683566694537,0.14153927802154215,0.024687489558329542,0,0,0,1,1,0
48,0,-0.0020000000000000018,-0.0002223210315695865,-0.005304574966809,0.0002135821748492292,2.1069449264108633e-05,0.00012066976411655053,-0.007281989626212154,-0.05004833230865646,-0.08743883601880764,0.11614073694794204,0.03561744510621027,1,0,1,1,1,0
49,0,0.6659999999999999,0.07751396648044692,0.05853296930092819,0.000587145269942288,7.481262282658246e-05,-0.0002150604843864101,0.07916972153632412,0.48589165547581414,0.5688496807991923,0.113176710943886,0.040481767397547413,0,0,0,0,1,0
50,0,0.0,0.0,0.0014625294670311123,-1.6464473252750245e-06,-1.4854279675529606e-06,-2.809721031938792e-06,0.00426178687298967,0.00012225908550966835,0.012387239441825848,0.1340232013387199,0.02723573681738328,0,1,0,0,1,0
51,0,0.0,0.0,0.0012072519258352343,-7.339436375854158e-05,-1.7834103411432187e-06,-9.3836766453705e-06,0.003733280863513988,-0.00043362027071935927,0.006052667657995059,0.11173160476475316,0.03268753947526889,0,1,0,0,1,0
52,0,0.0,0.0,0.0010867982210690935,-9.867073812799831e-07,8.200669107246805e-06,-1.1170692219125678e-06,0.005546634312775495,-0.01599336797350326,0.030590332299534673,0.12449476348191722,0.025885196323485394,0,1,0,0,1,0
53,0,-0.006000000000000005,-0.000674915635545557,-0.00804052900383262,0.0006067883461136278,4.92384245226918e-05,0.00013310643201946927,-0.001555782555436508,-0.02780625293085559,-0.10319016834032002,0.11719967220685554,0.03733473950996278,1,0,1,1,1,0
54,0,0.09600000000000003,0.00534521158129176,-0.0020742310002866,0.0008362634952412754,4.005638517980202e-05,6.292401600969737e-05,0.005334118776717217,0.030769909316552102,-0.012207855239999343,0.15919039065237406,0.017679407243280182,0,0,0,1,1,0
55,0,0.0,0.0,-0.004063793574141744,-0.0001948986513576577,2.0935284490696655e-05,6.2263661840063125e-06,0.0016642478209183964,-0.053189557523643294,0.08740439224682284,0.1308236368416608,0.026588888563060957,0,1,0,0,1,0
56,0,0.0020000000000000018,0.00022011886418666152,0.0005775324727467779,-0.0001637004950135086,3.800462765428392e-07,-4.5109266075347293e-07,0.00433738317055779,-0.009691315068043771,7.745122815849825e-05,0.1306770108562462,0.03506929982116314,0,1,0,0,1,0
57,0,-0.09399999999999997,-0.00505159071367154,0.002815336819707137,0.0026882728041222118,2.7792350331763064e-05,4.0784707550149094e-05,0.005457420931684054,0.14638187056234941,-0.03226282673446823,0.15909224554248985,0.01806433124700932,1,0,0,1,1,0
58,0,0.0040000000000000036,0.0004810004810004813,-0.0003188852895084221,-0.000685239756997004,9.02297114752234e-06,2.2998495650890542e-05,0.008701896766475092,0.01367509207830886,-0.007543372007244642,0.12085176081993834,0.04163212781815855,0,1,0,1,1,0
