episode,uncertainty_on,x_start,x_end,speed,y_noise_mean,y_noise_std,noise_seed,kf_seed,base_duration_s,max_time_s,steps_total,sim_time_s,success,zone_steps,zone_time_s,zone_ratio,zone_entries,target_err_mean,target_err_min,target_err_p95,hold_steps,hold_err_mean,hold_err_p95,attach_steps,attach_err_mean,attach_err_p95,hf_target_err_diff_rms,hf_attach_err_diff_rms,hf_qdot_diff_rms
14,0,-0.6417594234700046,0.3936703619484394,0.4854328613425538,0.007639015259593658,0.005,181052609,893821600,2.133003073905571,8.13300307390557,4067,8.133999999999386,1,13,0.026000000000000002,0.003196459306614212,7,0.11721429301196272,0.002016378868342016,0.7114480289869192,925,0.37391187010151056,1.051313940519433,3142,0.020236316856733782,0.039875348200308754,0.0009055212555810556,0.00036073755133600563,0.170860070901831
15,1,-0.7864379357557297,0.4548608398321157,0.2628596498814766,0.006004873660228977,0.005,1110496718,905784460,4.722287259180126,10.722287259180126,5362,10.72400000000025,1,0,0.0,0.0,0,0.1300198550022921,0.00972062254433611,0.7808929904320151,1135,0.46927049662919085,1.1746879806296517,4227,0.021432043985223366,0.027978912271535233,0.0008497706199026625,0.0005627095986031772,0.1517443359562076
15,0,-0.7864379357557297,0.4548608398321157,0.2628596498814766,0.006004873660228977,0.005,1110496718,905784460,4.722287259180126,10.722287259180126,5362,10.72400000000025,1,3300,6.6000000000000005,0.6154419992540097,9,0.17851846371482188,0.011323156083398648,0.7777201884362924,1770,0.383547704554556,1.1121879769129126,3592,0.05209359422874077,0.05546336726635387,0.0008233362328114808,0.000330715916980466,0.22273510891551504
16,1,-0.655045146105285,0.43837441647976216,0.34673638085383673,0.009477517570877203,0.005,1170918536,185381386,3.153460735480097,9.153460735480097,4577,9.153999999999726,1,10,0.02,0.002184837229626393,5,0.11572995229990174,0.005811228738724142,0.7145247690659736,920,0.420207980335277,1.0769855033320443,3657,0.02134871693489545,0.031041132198748256,0.0009099833504976373,0.0005679869421300913,0.15695826105374883
16,0,-0.655045146105285,0.43837441647976216,0.34673638085383673,0.009477517570877203,0.005,1170918536,185381386,3.153460735480097,9.153460735480097,4577,9.153999999999726,1,1,0.002,0.00021848372296263927,1,0.11671043688564098,0.0059974527889451335,0.7120328122262092,940,0.4142142761135986,1.0761322792075327,3637,0.02120835977019677,0.030671889951138235,0.0009072457566199674,0.00055805592768313,0.16116279284641286
17,1,-0.5587129039270418,0.3375116959050686,0.18316068593876378,0.012614685097571701,0.005,1743464936,1937336380,4.8931057188317455,10.893105718831745,5447,10.894000000000307,1,0,0.0,0.0,0,0.1000390864750249,0.007816839058082361,0.6225804880988983,925,0.41900370300944967,1.013052664495528,4522,0.020457664807744576,0.024976822727122486,0.00073421947190359,0.00044668733557417395,0.13880526274676627
17,0,-0.5587129039270418,0.3375116959050686,0.18316068593876378,0.012614685097571701,0.005,1743464936,1937336380,4.8931057188317455,10.893105718831745,5447,10.894000000000307,1,0,0.0,0.0,0,0.10200338858194251,0.008074395867473657,0.6186897794998706,970,0.4077513987143178,1.0112056460175465,4477,0.020306059346557322,0.02460693784918863,0.0007350587370347602,0.00044210480143179963,0.14293713662288615
18,1,-0.5970427230714846,0.6899618177180191,0.20904386884905107,0.013496013564680713,0.005,1590222927,1578902054,6.156624195081463,12.156624195081463,6079,12.15800000000073,1,0,0.0,0.0,0,0.09525739764159204,0.008236555371298223,0.6061725442878001,920,0.4366612374872836,1.0394798024322733,5159,0.022102684378638715,0.026244338902805264,0.0007851645325880577,0.0005490258506507869,0.13419602074431813
18,0,-0.5970427230714846,0.6899618177180191,0.20904386884905107,0.013496013564680713,0.005,1590222927,1578902054,6.156624195081463,12.156624195081463,6079,12.15800000000073,1,0,0.0,0.0,0,0.09723518749618335,0.011145749543670246,0.5999651971920351,980,0.4185103959610801,1.0370548313928094,5099,0.021966092651055192,0.025854990574642838,0.0007827912315857682,0.0005424955761044924,0.1377294844362138
19,1,-0.5253693540627558,0.5289396458244653,0.21416777447299135,0.009700183649722454,0.005,1933157178,714513807,4.922818115291102,10.922818115291102,5462,10.924000000000317,1,5,0.01,0.0009154155986818016,2,0.09500189739687259,0.010270249948032483,0.5895872059652834,875,0.40914682687363707,0.9925636381516802,4587,0.021490804632810175,0.026463993988030406,0.0008216963795746661,0.0005082863189996449,0.13969334372370026
19,0,-0.5253693540627558,0.5289396458244653,0.21416777447299135,0.009700183649722454,0.005,1933157178,714513807,4.922818115291102,10.922818115291102,5462,10.924000000000317,1,10,0.02,0.001830831197363603,2,0.09575908880969407,0.008103572914947408,0.5882385762317297,905,0.3984023068871178,0.9864957500136323,4557,0.021274096934514937,0.026006067578039853,0.0008247257315800012,0.0005063370054518649,0.14240377224440368
20,1,-0.6563910220404613,0.5264845769251653,0.23162373964352825,0.014872179002127395,0.005,511007828,1463729499,5.106884125030044,11.106884125030044,5554,11.108000000000379,1,95,0.19,0.017104789341015485,2,0.109458113542297,0.01069485300396694,0.6741413735831099,995,0.44278260185208834,1.0737855567513148,4559,0.021721845610719805,0.027334836703762265,0.0008007048181809193,0.0005521004499997943,0.14612750403024036
20,0,-0.6563910220404613,0.5264845769251653,0.23162373964352825,0.014872179002127395,0.005,511007828,1463729499,5.106884125030044,11.106884125030044,5554,11.108000000000379,1,98,0.196,0.01764494058336334,2,0.11122491296848579,0.011286638753430686,0.6700772167264845,1050,0.4260729551495471,1.0706141221779901,4504,0.02158317874436373,0.026748887712487412,0.0007976430815242092,0.0005414320289946706,0.14865344152981824
